Type1,regionExp_response_8.rt,regionExp_response_9.rt,Type2,regionExp_response_8.rt,regionExp_response_9.rt,OmS_8,OmS_9,Participant
O,0.530651093,0.529089928,S,0.664577961,1.73438406,-0.133926868,-1.205294132,4
O,0.612676859,0.495877981,S,0.530398846,0.462276936,0.082278013,0.033601045,4
O,0.714730978,0.395014048,S,0.579056025,0.429009914,0.135674953,-0.033995866,4
O,0.74716115,0.763278961,S,0.545591116,0.479502916,0.201570034,0.283776045,4
O,1.601628065,0.445231915,S,0.361897945,0.379040956,1.23973012,0.066190959,4
O,0.496719837,0.546270847,S,0.278595209,0.545747042,0.218124628,0.000523805,4
O,1.199699879,0.579535961,S,0.631193876,0.361351967,0.568506003,0.218183994,4
O,1.414202929,1.331643105,S,0.662298918,1.147296906,0.751904011,0.184346199,5
O,1.347772837,1.131079912,S,0.513234138,0.779710054,0.834538699,0.351369858,5
O,0.695958853,0.478426933,S,0.46314621,0.461890936,0.232812643,0.016535997,5
O,0.695254803,0.545957088,S,0.580569983,0.528596878,0.11468482,0.01736021,5
O,0.563683033,0.311331987,S,0.612293959,1.364394188,-0.048610926,-1.053062201,5
O,0.462760925,0.428749084,S,0.344589949,0.344411135,0.118170976,0.084337949,5
O,0.479970932,1.748981953,S,0.378134012,0.327979088,0.10183692,1.421002865,5
O,0.345695019,0.445423126,S,0.345684052,0.361855984,1.0967E-05,0.083567142,5
O,0.580401897,0.406747818,S,0.613863945,0.612103939,-0.033462048,-0.205356121,5
O,0.412972927,0.423633814,S,0.345026016,0.494864941,0.067946911,-0.071231127,5
O,0.647019148,0.946295023,S,0.546961069,0.444366217,0.100058079,0.501928806,6
O,2.018166065,0.56162405,S,1.030402899,0.629333019,0.987763166,-0.067708969,6
O,0.662356138,1.598581076,S,1.482082129,0.447184086,-0.819725991,1.15139699,6
O,1.098247051,0.562335014,S,2.803486109,1.247564077,-1.705239058,-0.685229063,6
O,0.429152966,1.248176098,S,1.332649946,2.651941061,-0.90349698,-1.403764963,6
O,0.946571827,0.64547801,S,0.795458078,1.681645155,0.151113749,-1.036167145,6
O,0.596564054,0.495301008,S,0.79720211,0.328016043,-0.200638056,0.167284965,6
O,0.327923059,1.030184031,S,0.379201174,0.528959036,-0.051278115,0.501224995,6
O,0.346238136,0.377796888,S,0.327251911,0.545630932,0.018986225,-0.167834044,6
O,0.34420085,0.461981058,S,0.46323514,0.411833048,-0.11903429,0.05014801,6
O,1.383714914,0.679573059,S,0.747916937,0.579501152,0.635797977,0.100071907,7
O,1.081639051,2.286221981,S,0.561958075,0.462639093,0.519680976,1.823582888,7
O,2.371420145,0.712368011,S,2.120244026,0.746145964,0.251176119,-0.033777953,7
O,0.681365013,0.545589209,S,0.914520979,0.696820974,-0.233155966,-0.151231765,7
O,4.379770994,1.265283108,S,2.537420988,1.38259387,1.842350006,-0.117310762,7
O,7.942656994,1.533555031,S,0.346967936,1.566512823,7.595689058,-0.032957792,7
O,1.549962044,0.412050009,S,0.346522808,2.872522831,1.203439236,-2.460472822,7
O,0.57921505,0.3785429,S,0.563457012,0.629837036,0.015758038,-0.251294136,7
O,0.597245932,2.587893009,S,0.346641064,1.583578825,0.250604868,1.004314184,7
O,0.513537884,3.274019957,S,0.311661959,2.169149876,0.201875925,1.104870081,7
O,1.783576965,1.431365967,S,4.240483046,5.444031,-2.456906081,-4.012665033,8
O,1.516741037,1.598484039,S,2.70361805,3.621742964,-1.186877013,-2.023258925,8
O,0.710427999,2.167541981,S,1.866158962,0.64627409,-1.155730963,1.521267891,8
O,1.149136066,0.879765987,S,0.528813839,1.197793007,0.620322227,-0.31802702,8
O,0.429471016,0.863494873,S,0.463230848,0.963527203,-0.033759832,-0.10003233,8
O,0.513329983,3.839296103,S,1.531609058,1.314671993,-1.018279075,2.52462411,8
O,0.746319056,0.543486118,S,0.446427107,0.478283882,0.299891949,0.065202236,8
O,1.498038054,4.575059891,S,0.546852112,1.899882793,0.951185942,2.675177098,8
O,0.362802029,2.936028004,S,1.132171154,1.465197086,-0.769369125,1.470830918,8
O,0.394460201,3.906105042,S,0.713941097,0.595896006,-0.319480896,3.310209036,8
O,2.201118946,1.163958073,S,3.33782196,4.9760499,-1.136703014,-3.812091827,9
O,0.428342104,2.150435925,S,1.515253067,1.146746874,-1.086910963,1.003689051,9
O,0.529608965,2.786634922,S,1.766084909,1.097100973,-1.236475944,1.689533949,9
O,1.314553022,1.53216815,S,2.536235809,1.097269058,-1.221682787,0.434899092,9
O,4.20688796,2.535333872,S,2.804057121,3.471859932,1.402830839,-0.93652606,9
O,3.753720999,0.628555059,S,1.18226099,3.588697195,2.571460009,-2.960142136,9
O,1.499802113,0.612197876,S,0.863011122,0.645437002,0.636790991,-0.033239126,9
O,1.315540075,0.695640087,S,0.528528929,1.281297207,0.787011146,-0.58565712,9
O,0.781080008,0.612468004,S,1.247119188,0.495302916,-0.46603918,0.117165088,9
O,0.730273008,0.461879015,S,0.446597815,0.712754965,0.283675193,-0.25087595,9
O,3.771538973,0.462041855,S,5.194298029,1.799062014,-1.422759056,-1.337020159,10
O,0.546800137,1.230919838,S,1.148759842,2.585534096,-0.601959705,-1.354614258,10
O,0.578288078,1.932715893,S,0.480170012,2.668651819,0.098118066,-0.735935926,10
O,0.528489113,1.347700119,S,0.678759813,1.665804863,-0.1502707,-0.318104744,10
O,4.189904928,0.578052998,S,0.411087036,4.909049034,3.778817892,-4.330996036,10
O,0.630032063,0.511964083,S,0.345915079,2.41779089,0.284116984,-1.905826807,10
O,0.645870924,1.180393934,S,1.363881111,1.364837885,-0.718010187,-0.184443951,10
O,0.463240862,0.996613026,S,2.836905003,0.394732952,-2.373664141,0.601880074,10
O,0.697164059,0.512133121,S,0.980138063,0.862870932,-0.282974004,-0.350737811,10
O,2.685683012,0.578511,S,0.695311069,1.230209112,1.990371943,-0.651698112,10
O,2.335980177,0.677571058,S,1.666901827,1.02998805,0.66907835,-0.352416992,11
O,1.280958891,0.478112936,S,1.230942011,0.51094985,0.05001688,-0.032836914,11
O,0.896704197,0.478327036,S,1.380548,2.350996017,-0.483843803,-1.872668981,11
O,1.182193041,0.645567894,S,1.215238094,0.461604118,-0.033045053,0.183963776,11
O,0.813811064,4.42423296,S,0.645101786,0.4786551,0.168709278,3.94557786,11
O,0.795366049,0.56279397,S,0.561720133,0.996699095,0.233645916,-0.433905125,11
O,0.696979046,0.545232773,S,0.429999828,1.932761192,0.266979218,-1.387528419,11
O,2.018106937,0.494868994,S,0.563579082,0.528254032,1.454527855,-0.033385038,11
O,0.411371231,1.414350986,S,1.265766144,0.645568132,-0.854394913,0.768782854,11
O,1.232153177,0.611980915,S,1.533043146,0.495412111,-0.300889969,0.116568804,11
O,0.52862215,0.461650848,S,1.382869005,0.561898947,-0.854246855,-0.100248099,12
O,0.378333092,0.644986868,S,0.696221113,0.37835288,-0.317888021,0.266633988,12
O,0.546782017,0.428299904,S,0.513046026,0.645763874,0.033735991,-0.21746397,12
O,1.397513866,0.545079947,S,3.322133064,0.595479965,-1.924619198,-0.050400018,12
O,2.184890032,0.510900974,S,0.413086176,0.394598961,1.771803856,0.116302013,12
O,0.496296167,0.444937944,S,0.411601067,0.863168001,0.0846951,-0.418230057,12
O,1.667065859,0.812846899,S,1.280895948,0.579123974,0.386169911,0.233722925,12
O,1.347808838,0.829620123,S,0.362772942,0.411831141,0.985035896,0.417788982,12
O,5.611094952,0.82952714,S,0.545625925,1.046933889,5.065469027,-0.217406749,12
O,1.214041948,0.562503099,S,0.996577978,0.478320122,0.21746397,0.084182977,12
O,0.745807171,2.685572147,S,1.900822878,0.461127043,-1.155015707,2.224445104,13
O,1.180561066,1.498214006,S,1.098552942,2.133749008,0.082008124,-0.635535002,13
O,0.579952955,1.699203968,S,3.270200014,1.582271099,-2.690247059,0.116932869,13
O,1.616446972,0.980159998,S,0.830999136,2.434417963,0.785447836,-1.454257965,13
O,1.148616076,1.164122105,S,0.462663889,0.99574399,0.685952187,0.168378115,13
O,1.080215931,1.263952017,S,1.51542592,1.180351973,-0.435209989,0.083600044,13
O,1.807566881,0.545463085,S,1.247353077,0.428199053,0.560213804,0.117264032,13
O,1.399110079,0.728883982,S,1.230899811,0.477668047,0.168210268,0.251215935,13
O,1.648503065,0.929718971,S,2.252053976,0.930062056,-0.603550911,-0.000343085,13
