Type1,regionExp_response_3.rt,regionExp_response_4.rt,Type2,regionExp_response_3.rt,regionExp_response_4.rt,OmS_3,OmS_4,OmS_4minus3,Participant
O,0.595500946,0.745763063,S,0.344168186,0.609869003,0.25133276,0.13589406,-0.1154387,10
O,0.428333998,0.511147976,S,0.579378128,0.57972312,-0.15104413,-0.068575144,0.082468986,10
O,0.831461906,1.130053043,S,1.12982893,3.238646984,-0.298367024,-2.108593941,-1.810226917,10
O,0.647452831,0.979796886,S,0.477909088,0.513576031,0.169543743,0.466220855,0.296677112,10
O,0.745787859,0.963787079,S,0.778991938,0.563410997,-0.033204079,0.400376082,0.433580161,11
O,0.379391909,1.782618046,S,0.913261175,0.580035925,-0.533869266,1.202582121,1.736451387,11
O,0.55776906,0.461244822,S,0.46194315,0.661990881,0.09582591,-0.200746059,-0.296571969,11
O,0.596539021,0.628926039,S,0.927714109,0.697194099,-0.331175088,-0.06826806,0.262907028,11
O,0.663511992,0.695878983,S,0.662052155,1.315918922,0.001459837,-0.620039939,-0.621499776,11
O,0.496871948,0.344299793,S,0.411826134,0.645793915,0.085045814,-0.301494122,-0.386539936,11
O,1.029929161,0.629228115,S,0.394560099,0.997634172,0.635369062,-0.368406057,-1.003775119,11
O,1.399226189,0.679008007,S,0.578916073,0.461087942,0.820310116,0.217920065,-0.602390051,11
O,1.13073802,0.494548798,S,0.963266134,0.912725925,0.167471886,-0.418177127,-0.585649013,11
O,0.646850109,1.447893858,S,2.534929991,1.114741087,-1.888079882,0.333152771,2.221232653,11
O,3.454056978,1.448523998,S,0.461205006,0.779917955,2.992851972,0.668606043,-2.324245929,12
O,1.833989859,0.461359024,S,0.963557005,0.764076948,0.870432854,-0.302717924,-1.173150778,12
O,0.98002696,0.445331097,S,0.545174122,2.484875917,0.434852838,-2.03954482,-2.474397658,12
O,0.478351116,0.778758049,S,0.512300968,0.846008062,-0.033949852,-0.067250013,-0.033300161,12
O,0.663659811,0.545059919,S,0.545171022,1.249132872,0.118488789,-0.704072953,-0.822561742,12
O,0.829503059,0.528634071,S,0.829379082,0.98159194,0.000123977,-0.452957869,-0.453081846,12
O,2.283632994,1.414943218,S,1.030470133,1.583045959,1.253162861,-0.168102741,-1.421265602,12
O,2.887337923,1.130613089,S,2.384653091,1.380892992,0.502684832,-0.250279903,-0.752964735,12
O,1.331071138,0.411011934,S,1.966516972,0.896378994,-0.635445834,-0.48536706,0.150078774,12
O,0.496395826,0.395294905,S,1.464824915,1.146703005,-0.968429089,-0.7514081,0.217020989,12
O,2.016332865,0.528871059,S,0.377809048,0.679372072,1.638523817,-0.150501013,-1.78902483,13
O,0.562204123,0.980185032,S,0.344072104,0.898315907,0.218132019,0.081869125,-0.136262894,13
O,3.489114046,0.562075138,S,0.879887104,2.100013971,2.609226942,-1.537938833,-4.147165775,13
O,0.295332909,0.696187019,S,0.428103924,1.399626017,-0.132771015,-0.703438998,-0.570667983,13
O,0.261924028,0.562180996,S,0.712759972,3.571391106,-0.450835944,-3.00921011,-2.558374166,13
O,1.314321041,0.494817972,S,0.46034503,1.817589998,0.853976011,-1.322772026,-2.176748037,13
O,2.083348989,0.445111036,S,0.328620911,0.679109097,1.754728078,-0.233998061,-1.988726139,13
O,0.680123091,1.11371994,S,0.858726978,1.717303038,-0.178603887,-0.603583098,-0.424979211,13
O,0.479620934,0.474177122,S,0.478833914,0.964442968,0.00078702,-0.490265846,-0.491052866,13
O,0.631099939,0.411100864,S,0.428408146,0.412960052,0.202691793,-0.001859188,-0.204550981,13
O,0.346011877,0.595543861,S,2.585289955,0.779303074,-2.239278078,-0.183759213,2.055518865,14
O,1.297805071,0.762808084,S,1.114545107,0.930039883,0.183259964,-0.167231799,-0.350491763,14
O,0.56230402,0.445092201,S,0.462460041,0.528231859,0.099843979,-0.083139658,-0.182983637,14
O,0.413126945,0.361762047,S,0.411673069,0.511427164,0.001453876,-0.149665117,-0.151118993,14
O,0.461926937,0.344630003,S,0.294835091,1.71709609,0.167091846,-1.372466087,-1.539557933,14
O,0.413130045,2.73604703,S,0.361511946,0.730490923,0.051618099,2.005556107,1.953938008,14
O,0.346106052,0.57866621,S,0.428668976,0.558543921,-0.082562924,0.020122289,0.102685213,14
O,0.645044088,0.545106888,S,0.428732157,0.496159077,0.216311931,0.048947811,-0.16736412,14
O,0.897799015,0.361418009,S,0.372997046,0.445104837,0.524801969,-0.083686828,-0.608488797,14
O,0.195665836,1.431646824,S,0.545629978,5.796792984,-0.349964142,-4.36514616,-4.015182018,14
O,0.578580856,0.946892023,S,0.461961031,0.444710016,0.116619825,0.502182007,0.385562182,15
O,0.412800074,0.461837053,S,0.462193012,2.970057964,-0.049392938,-2.508220911,-2.458827973,15
O,0.664005995,0.545034885,S,0.344540834,0.346439123,0.319465161,0.198595762,-0.120869399,15
O,1.095778942,1.063331127,S,1.849685907,0.744273901,-0.753906965,0.319057226,1.072964191,15
O,0.647054911,0.746151924,S,0.361457109,1.280997992,0.285597802,-0.534846068,-0.82044387,15
O,0.846749783,1.113564968,S,0.545217991,0.462023973,0.301531792,0.651540995,0.350009203,15
O,1.129332781,0.377734184,S,0.310549974,0.312674046,0.818782807,0.065060138,-0.753722669,15
O,0.612612009,0.344722033,S,0.628950119,0.747900963,-0.01633811,-0.40317893,-0.38684082,15
O,0.34630084,0.427835941,S,0.373675108,1.614094019,-0.027374268,-1.186258078,-1.15888381,15
O,0.52878499,0.578806877,S,0.378153801,0.680824995,0.150631189,-0.102018118,-0.252649307,15
O,1.112649918,0.896484137,S,1.097113848,0.696161985,0.01553607,0.200322152,0.184786082,16
O,0.828058004,0.67912817,S,0.494804144,1.416367054,0.33325386,-0.737238884,-1.070492744,16
O,0.696020126,0.59553194,S,1.313364029,0.746009111,-0.617343903,-0.150477171,0.466866732,16
O,0.613012075,0.595978022,S,0.512325048,0.796343803,0.100687027,-0.200365781,-0.301052808,16
O,0.779882193,0.478462934,S,0.528170109,2.15169692,0.251712084,-1.673233986,-1.92494607,16
O,2.385890961,1.313849926,S,1.949992895,0.73060894,0.435898066,0.583240986,0.14734292,16
O,0.729186058,0.624178886,S,1.779687166,0.996400118,-1.050501108,-0.372221232,0.678279876,16
O,0.680598021,0.578876019,S,0.64606905,0.713068008,0.034528971,-0.134191989,-0.16872096,16
O,0.663584948,0.512287855,S,0.84614706,0.71113801,-0.182562112,-0.198850155,-0.016288043,16
O,0.512158871,0.461366892,S,0.511425018,0.911217928,0.000733853,-0.449851036,-0.450584889,16
O,1.215103149,0.51266408,S,0.32881999,1.830959082,0.886283159,-1.318295002,-2.204578161,17
O,1.04937911,0.445914984,S,0.211011171,1.501528025,0.838367939,-1.055613041,-1.89398098,17
