RCtype,Par,ParFac,RC1,RC2,RC1fac,RC2fac,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_NinRC2.rt,regionExp_response_VinRC2.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R34,log_R78,log_VinRC2,log_NinRC2,CORR,OO%COR,OS%COR,SO%COR,SS%COR,%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
SO,NP,-0.5,S,O,0.5,-0.5,17,67,84,1,0,0,1,0,mismatch2,0.979232788,1.015326023,0.478991985,0.410234928,0.460475206,0.580000162,0.711583138,0.679660082,0.711583138,0.679660082,0.559246063,0.527212858,n,12.3024199,2.990885947,3.006605517,2.680328246,2.613032634,2.663206251,2.763428115,2.852225648,2.832291764,2.747602935,2.721985994,2.949012598,3.143403061,2.832291764,2.852225648,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OO,P,0.5,O,O,-0.5,-0.5,18,70,88,1,1,0,0,0,match,0.996230841,0.664008141,0.844578981,0.847038984,0.578655958,0.747694969,0.644388914,0.864056826,0.644388914,0.864056826,0.660558939,0.857419014,y,2.04916501,2.998359982,2.822173404,2.926640269,2.927903399,2.762420429,2.873724458,2.80914806,2.936542305,2.819911574,2.93319311,3.228302289,3.178529693,2.936542305,2.80914806,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,13,49,62,1,1,0,0,0,mismatch2,1.04654789,1.149347067,2.152138948,0.996112823,0.844914913,0.697286129,0.780358076,0.493006945,0.493006945,0.780358076,0.575994015,0.577091932,n,4.631832838,3.019759106,3.060451192,3.332870307,2.998308531,2.926812976,2.843411026,2.892293929,2.692853037,2.760417971,2.761245003,3.498069456,3.104952916,2.892293929,2.692853037,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,11,43,54,1,1,0,0,0,mismatch1,1.061995983,0.730933905,1.91821599,4.090763807,0.711642981,0.445820093,0.594871044,0.562067032,0.594871044,0.562067032,0.743525982,0.744439125,n,7.202955961,3.026122874,2.863878107,3.282897507,3.611804405,2.85226217,2.649159638,2.77442283,2.749788113,2.871296149,2.87182919,3.778800744,3.063310114,2.749788113,2.77442283,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,8,32,40,1,1,0,0,0,mismatch2,1.430462122,0.781048059,0.360104084,0.428930044,0.775393009,0.630427122,0.378488064,0.962753057,0.962753057,0.378488064,0.628082037,0.459770203,n,2.301658154,3.155476362,2.892677757,2.556428047,2.632386467,2.889521881,2.799634889,2.578052188,2.983514906,2.798016373,2.662540822,2.897095788,3.12750686,2.578052188,2.983514906,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,7,27,34,1,1,0,0,0,mismatch1,1.547324896,0.513433933,0.445348024,0.477586031,0.744713068,0.396418095,2.63599205,0.512437105,2.63599205,0.512437105,0.659200191,0.57712698,n,13.78138304,3.189581513,2.710484568,2.64869953,2.679051616,2.871988975,2.59815347,3.420944096,2.709640569,2.819017325,2.761271378,2.965170671,3.498093925,2.709640569,3.420944096,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,20,80,100,1,1,0,0,0,mismatch2,1.548932076,3.357815027,0.827801943,0.763339996,1.964076996,0.613721848,0.89756012,1.865751028,1.865751028,0.89756012,0.610918999,1.28053093,n,3.157225132,3.190032373,3.526056768,2.917926441,2.882718018,3.293158509,2.787971584,2.953063548,3.27085369,2.785983631,3.107390073,3.201708923,3.441429789,2.953063548,3.27085369,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,7,25,32,1,0,0,1,0,mismatch1,1.764586926,0.479147196,0.529074907,0.828474045,1.548144817,1.11513114,0.897115946,0.878921986,0.878921986,0.897115946,0.559046984,0.694008827,n,1.931293964,3.246643057,2.680468951,2.723517164,2.918278907,3.189811583,3.047325944,2.952848576,2.943950328,2.747448309,2.841364994,3.132755499,3.249452237,2.952848576,2.943950328,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
SS,P,0.5,S,S,0.5,0.5,3,9,12,1,0,0,1,0,mismatch1,1.833037853,0.580670834,0.595394135,0.812702894,0.795243979,2.203227043,0.646299839,0.559825897,0.559825897,0.646299839,0.492547035,0.392869949,n,4.043039799,3.263171433,2.763930013,2.774804552,2.909931806,2.90050039,3.343059254,2.810434048,2.748052985,2.692447709,2.59424881,3.148632582,3.081392584,2.810434048,2.748052985,1,0.6,0.5,0.8,1,0.725,0.4,0.5,0.2,0,0.275,0.6,0.5,0.8,0.95,0.725,0.4,0.5,0.2,0.05,0.275,0.506694206,0,1.683242467,3.289707254,1.195520252,3.289707254,-1.176548261,1.606464787,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,4,16,20,2,1,0,0,0,mismatch2,0.176009893,0.646945953,0.69040513,0.411911011,0.524586201,0.529435158,0.42889595,0.360118151,0.360118151,0.42889595,0.410366058,0.553043842,n,6.516518831,2.245537079,2.810868,2.83910401,2.614803401,2.719816862,2.723812778,2.632351945,2.556445012,2.613171432,2.742759561,3.042306167,2.897084765,2.632351945,2.556445012,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
OO,P,0.5,O,O,-0.5,-0.5,5,18,23,2,0,1,0,0,match,0.225028038,0.563389063,0.426191807,0.395023823,12.0181849,0.446585894,0.410014153,0.378473997,0.410014153,0.378473997,0.542640209,0.476431131,y,2.956370115,2.352236634,2.750808412,2.629605097,2.596623288,4.079838881,2.649905001,2.612798848,2.578036047,2.734511971,2.678000131,2.914457207,2.896795171,2.578036047,2.612798848,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
SS,P,0.5,S,S,0.5,0.5,12,45,57,2,0,1,0,0,mismatch1,0.25939393,0.329065084,0.562258959,0.308344126,0.574690104,0.663619995,0.696218014,0.343384981,0.343384981,0.696218014,0.477310181,0.376102209,n,1.098763943,2.413959809,2.517281803,2.749936384,2.489035679,2.759433719,2.821919463,2.842745256,2.535781296,2.678800698,2.575305884,2.939820202,3.016867522,2.842745256,2.535781296,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
SS,P,0.5,S,S,0.5,0.5,1,1,2,2,1,0,0,0,match,0.259571075,0.630176067,0.443691015,0.359656096,0.443289995,0.345704079,0.378182888,0.677664995,0.677664995,0.378182888,0.341882944,0.409579039,y,3.525572062,2.414256296,2.799461905,2.647080634,2.555887426,2.646687929,2.538704504,2.577701874,2.831015053,2.533877435,2.612337723,2.904903236,3.023601353,2.577701874,2.831015053,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
OS,NP,-0.5,O,S,-0.5,0.5,20,80,100,2,1,0,0,0,mismatch2,0.292987823,0.680219173,0.66023016,0.378445148,0.474354982,0.446302176,0.361491203,0.409646034,0.409646034,0.361491203,0.443737984,0.425149918,n,4.025527,2.466849571,2.832648869,2.819695359,2.578002942,2.676103466,2.649629004,2.558097733,2.612408755,2.647126606,2.6285421,3.016479807,2.887131675,2.558097733,2.612408755,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
SO,NP,-0.5,S,O,0.5,-0.5,18,71,89,2,0,1,0,0,match,0.293007135,0.512800932,0.494846106,0.744576931,0.712092876,1.399566174,0.728046894,1.582945108,0.728046894,1.582945108,0.977758884,0.442942142,y,4.53935194,2.466878196,2.709948806,2.694470157,2.871909576,2.852536641,3.145993438,2.862159353,3.199465855,2.990231771,2.646347002,3.093219564,3.363798442,3.199465855,2.862159353,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
OO,P,0.5,O,O,-0.5,-0.5,10,38,48,2,1,0,0,0,match,0.326122046,0.463016987,0.577136993,0.445339203,0.41098094,0.446302176,0.476010084,0.344835997,0.476010084,0.344835997,0.392241955,0.426364899,y,4.946696997,2.513380158,2.665596925,2.761278912,2.648690928,2.613821681,2.649629004,2.677616153,2.537612595,2.593554045,2.629781444,3.009653206,2.914261729,2.537612595,2.677616153,1,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,0.8,0.7,0.9,0.9,0.825,0.2,0.3,0.1,0.1,0.175,1.683242467,1.048801025,2.563103131,2.563103131,1.869178582,1.514302106,-0.879860664,0,0.634441442
