RC1,NPorV,REG,log_NPorV,unlogged,Item,Participant
O,V,R4,2.998738766,0.997100115,73,22
O,V,R4,2.558209142,0.361583948,28,22
O,V,R4,3.286163357,1.93269515,93,22
O,V,R4,2.709300366,0.512035847,88,22
O,V,R4,2.694796456,0.495218039,8,22
O,V,R4,2.832043063,0.679270983,48,22
O,V,R4,2.516096118,0.328167915,68,23
O,V,R4,2.557617689,0.361091852,63,23
O,V,R4,2.443926147,0.277924061,28,23
O,V,R4,2.515509485,0.327724934,43,23
O,V,R4,2.958480341,0.908825159,3,23
O,V,R4,2.736390103,0.54499197,83,23
O,V,R4,2.044571641,0.110808134,88,23
O,V,R4,2.736224399,0.544784069,23,23
O,V,R4,2.66406999,0.461391926,48,23
O,V,R4,2.631546306,0.428101063,8,23
O,V,R4,2.631732988,0.428285122,23,24
O,V,R4,2.723553369,0.529119015,63,24
O,V,R4,2.709204706,0.511923075,33,24
O,V,R4,2.648634193,0.445281029,93,24
O,V,R4,2.631550418,0.428105116,3,24
O,V,R4,2.695284609,0.495774984,53,24
O,V,R4,2.631646669,0.428200006,43,24
O,V,R4,2.722733433,0.528120995,83,24
O,V,R4,2.648479064,0.445122004,73,24
O,V,R4,2.709159598,0.511869907,13,24
O,V,R4,2.578108267,0.37853694,53,25
O,V,R4,2.968608105,0.930268049,73,25
O,V,R4,2.648361808,0.445001841,3,25
O,V,R4,2.723335706,0.528853893,83,25
O,V,R4,2.798774878,0.629179955,43,25
O,V,R4,2.663982459,0.461298943,63,25
O,V,R4,3.101804146,1.264166117,23,25
O,V,R4,2.798273639,0.628454208,33,25
O,V,R4,2.537254826,0.34455204,13,25
O,V,R4,2.614430956,0.411557913,93,25
O,V,R4,2.928132542,0.847486019,18,26
O,V,R4,2.709908218,0.51275301,3,26
O,V,R4,2.901288839,0.796689034,43,26
O,V,R4,2.649235579,0.445898056,38,26
O,V,R4,3.130138111,1.349391937,78,26
O,V,R4,2.709983736,0.512842178,63,26
O,V,R4,2.592405536,0.391206026,98,26
O,V,R4,2.632242569,0.428787947,58,26
O,V,R4,2.737072587,0.545849085,23,26
O,V,R4,2.695100572,0.495564938,83,26
O,V,R4,2.89873724,0.79202199,33,27
O,V,R4,3.096293946,1.248228073,53,27
O,V,R4,2.918831598,0.829529047,58,27
O,V,R4,3.118823082,1.314689159,18,27
O,V,R4,2.901218001,0.796559095,73,27
O,V,R4,2.77481916,0.595414162,98,27
O,V,R4,2.723512467,0.529069185,78,27
O,V,R4,3.134858651,1.36413908,93,27
O,V,R4,3.020036342,1.047216177,38,27
O,V,R4,2.82088235,0.662037134,13,27
O,V,R4,2.842448898,0.695743084,8,28
O,V,R4,2.983659214,0.963073015,33,28
O,V,R4,2.80978792,0.645339012,13,28
O,V,R4,2.762275644,0.578463078,68,28
O,V,R4,2.798368201,0.628591061,93,28
O,V,R4,2.614600998,0.411719084,28,28
O,V,R4,2.648555122,0.445199966,73,28
O,V,R4,2.664825391,0.462195158,88,28
O,V,R4,2.709252033,0.511978865,48,28
O,V,R4,2.289316497,0.19467783,53,28
O,V,R4,2.842621054,0.696018934,38,29
O,V,R4,2.797593638,0.62747097,98,29
O,V,R4,2.991333841,0.980243206,93,29
O,V,R4,3.160734438,1.447886229,18,29
O,V,R4,2.723384259,0.528913021,33,29
O,V,R4,2.762573573,0.578860044,78,29
O,V,R4,2.909991683,0.812814951,13,29
O,V,R4,2.722522812,0.527864933,73,29
O,V,R4,2.614263113,0.411398888,58,29
O,V,R4,2.787179083,0.612602949,53,29
O,V,R4,2.631552111,0.428106785,98,30
O,V,R4,3.30455884,2.016317129,38,30
O,V,R4,2.862776441,0.729082108,73,30
O,V,R4,2.786993457,0.612341166,18,30
O,V,R4,2.64858652,0.445232153,33,30
O,V,R4,2.723141831,0.528617859,53,30
O,V,R4,2.67954782,0.47813201,13,30
O,V,R4,3.066067552,1.164307117,58,30
O,V,R4,2.749283979,0.561414957,78,30
O,V,R4,2.952455282,0.896303892,93,30
O,V,R4,2.723147707,0.528625011,68,31
O,V,R4,2.614796112,0.411904097,18,31
O,V,R4,2.762878807,0.579267025,48,31
O,V,R4,2.786713853,0.61194706,88,31
O,V,R4,2.648750213,0.4454,98,31
O,V,R4,2.538371314,0.345438957,58,31
O,V,R4,2.537631511,0.344851017,8,31
O,V,R4,2.694750036,0.49516511,38,31
O,V,R4,2.49294728,0.311133862,28,31
O,V,R4,2.596733365,0.395123959,78,31
O,V,R4,3.165577849,1.464123964,23,32
O,V,R4,3.278651375,1.899552822,53,32
O,V,R4,2.882362888,0.762716055,3,32
O,V,R4,2.809852576,0.645435095,83,32
O,V,R4,2.918735224,0.829344988,93,32
O,V,R4,2.664710675,0.462073088,43,32
O,V,R4,2.852624459,0.712236881,63,32
O,V,R4,2.873106657,0.746632099,73,32
O,V,R4,2.774570235,0.595072985,33,32
O,V,R4,2.664621256,0.461977959,13,32
O,V,R4,2.86292227,0.729326963,63,33
O,V,R4,2.77507924,0.595770836,8,33
O,V,R4,2.787225224,0.612668037,83,33
O,V,R4,3.437017997,2.73538208,43,33
O,V,R4,2.732881646,0.540606976,68,33
O,V,R4,2.960515056,0.91309309,48,33
O,V,R4,2.736762897,0.545459986,28,33
O,V,R4,2.631880922,0.428431034,88,33
O,V,R4,2.596535469,0.394943953,23,33
O,V,R4,2.648137444,0.444772005,3,33
O,V,R4,2.774782465,0.595363855,33,34
O,V,R4,2.649316382,0.445981026,18,34
O,V,R4,2.664237596,0.461570024,78,34
O,V,R4,2.596255114,0.394689083,58,34
O,V,R4,2.831893499,0.679037094,53,34
O,V,R4,2.708784399,0.511427879,38,34
O,V,R4,2.596614637,0.395015955,98,34
O,V,R4,2.648436026,0.445077896,73,34
O,V,R4,2.537051628,0.344390869,93,34
O,V,R4,2.664211125,0.461541891,13,34
O,V,R4,2.694560541,0.494949102,43,35
O,V,R4,2.831856291,0.67897892,8,35
O,V,R4,2.882713,0.763331175,63,35
O,V,R4,2.578020999,0.378460884,88,35
O,V,R4,2.723044078,0.528498888,48,35
O,V,R4,3.096017543,1.247433901,23,35
O,V,R4,2.632022766,0.428570986,3,35
O,V,R4,2.832164535,0.679461002,28,35
O,V,R4,2.88236058,0.762712002,68,35
O,V,R4,2.665095707,0.462482929,83,35
O,V,R4,2.809981699,0.645627022,68,36
O,V,R4,2.798551828,0.628856897,48,36
O,V,R4,2.694815691,0.495239973,93,36
O,V,R4,2.537375918,0.344648123,13,36
O,V,R4,2.515893822,0.328015089,28,36
O,V,R4,2.558015806,0.361423016,73,36
O,V,R4,2.694729752,0.495141983,88,36
O,V,R4,2.558457633,0.361790895,53,36
O,V,R4,2.47046643,0.295438051,33,36
O,V,R4,2.557597616,0.361075163,8,36
O,V,R4,2.709539728,0.512318134,28,37
O,V,R4,2.443255391,0.277495146,43,37
O,V,R4,2.531439216,0.33996892,83,37
O,V,R4,2.647946038,0.444576025,63,37
O,V,R4,2.417061484,0.261253119,3,37
O,V,R4,2.493297904,0.311385155,8,37
O,V,R4,2.537607491,0.344831944,48,37
O,V,R4,2.852763564,0.712465048,68,37
O,V,R4,2.248002628,0.177011967,23,37
O,V,R4,2.862686391,0.72893095,88,37
O,V,R4,2.708220991,0.510764837,38,38
O,V,R4,2.515838261,0.327973127,18,38
O,V,R4,2.736879816,0.545606852,58,38
O,V,R4,2.517041337,0.328882933,98,38
O,V,R4,3.239040546,1.733965874,88,38
O,V,R4,2.516224517,0.328264952,8,38
O,V,R4,2.821645858,0.663202047,68,38
O,V,R4,2.648904315,0.445558071,28,38
O,V,R4,2.852893326,0.712677956,78,38
O,V,R4,2.798795613,0.629209995,48,38
O,V,R4,2.984471153,0.964875221,18,39
O,V,R4,3.271368952,1.867965937,63,39
O,V,R4,2.736914164,0.545650005,58,39
O,V,R4,2.81021771,0.645977974,38,39
O,V,R4,2.709626829,0.512420893,98,39
O,V,R4,2.787275584,0.612739086,83,39
O,V,R4,2.680317438,0.478980064,43,39
O,V,R4,2.763061093,0.579510212,78,39
O,V,R4,2.67989569,0.478515148,3,39
O,V,R4,2.631790524,0.428341866,23,39
O,V,R4,2.577768674,0.378241062,3,40
O,V,R4,2.83225078,0.679595947,43,40
O,V,R4,2.648697438,0.445345879,63,40
O,V,R4,3.507876359,3.220151901,48,40
O,V,R4,2.82099041,0.662201881,83,40
O,V,R4,2.821107823,0.662380934,8,40
O,V,R4,2.664343019,0.461682081,23,40
O,V,R4,2.558480529,0.361809969,28,40
O,V,R4,2.537156545,0.344474077,88,40
O,V,R4,2.664663615,0.46202302,68,40
O,V,R4,2.709449781,0.512212038,38,41
O,V,R4,2.614636708,0.411752939,18,41
O,V,R4,2.537660335,0.344873905,98,41
O,V,R4,2.493204122,0.311317921,58,41
O,V,R4,2.557416916,0.360924959,78,41
O,V,R4,2.596525506,0.394934893,28,41
O,V,R4,2.631933605,0.428483009,48,41
O,V,R4,2.611324054,0.408624172,68,41
O,V,R4,2.810619532,0.646575928,8,41
O,V,R4,2.557977127,0.361390829,88,41
O,V,R4,2.787087632,0.612473965,73,42
O,V,R4,3.352835963,2.253387928,83,42
O,V,R4,3.36545057,2.319800138,93,42
O,V,R4,2.614899416,0.412002087,3,42
O,V,R4,2.325125621,0.211410046,13,42
O,V,R4,2.248934045,0.177392006,23,42
O,V,R4,2.249926952,0.177798033,63,42
