RCtype,RC1,RC2,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,R346,R8910,log_RC1_rt,log_RC2_rt,R3468910,log_R3468910,R3489,log_R3489,R34,log_R34,R89,log_R89
SO,S,O,8,31,39,1,main,0,0,0,1,mismatch2,1,1.366173983,1.014350176,0.964298964,0.463321209,0.729665995,0.563930988,0.562938929,0.881940126,2.453362942,0.748359919,0.346502066,1.043546915,n,1.919232845,3.135506011,3.006187909,2.9842117,2.665882181,2.863124107,2.75122596,2.750461283,2.945439102,3.389761801,2.874110519,2.539705828,3.018511979,1.991551161,4.083662987,3.299191467,3.611049894,6.075214148,3.783561591,4.762923241,3.677873583,1.427620173,3.154612676,3.335303068,3.523135303
SO,S,O,2,7,9,1,main,0,1,0,0,match,1,0.512784958,0.328149796,1.482898951,0.395081997,1.297380924,0.397252083,0.645412922,0.411881924,0.64576292,0.447535992,0.513497829,0.574934006,y,2.735188007,2.709935277,2.516072139,3.171111558,2.59668724,3.113067508,2.599066183,2.809837656,2.614772733,2.810073104,2.650827968,2.710538612,2.759617997,2.275233031,1.505180836,3.357025884,3.17758868,3.780413867,3.577539348,2.935625792,3.467700695,1.877980948,3.273691182,1.057644844,3.024339857
SS,S,S,16,61,77,1,main,0,1,0,0,mismatch1,1,0.679630995,1.600327969,0.914206982,0.562219858,0.897515059,0.430550098,0.444554091,5.315443993,1.451416016,2.455332041,3.84302187,0.541558027,n,3.658507824,2.832273177,3.204208995,2.961044534,2.749906181,2.953041744,2.634023692,2.647924611,3.725539546,3.161791911,3.390110231,3.584672856,2.733644997,1.906976938,9.22219205,3.280345441,3.964834162,11.12916899,4.046462737,8.243286849,3.916100413,1.47642684,3.169211932,6.766860009,3.830387192
SS,S,S,18,69,87,1,main,0,0,0,1,match,1,1.482857227,1.232072115,0.479304075,0.646963835,2.118320942,0.865348101,3.256942987,0.445198059,1.16504097,1.301136971,0.61216712,0.842710018,y,2.317883015,3.171099338,3.090636128,2.680611121,2.810880004,3.32599176,2.937190845,3.512810156,2.648553262,3.066341198,3.114323017,2.78687,2.925678157,1.991616011,2.911376,3.299205609,3.464098298,4.902992011,3.690461186,2.736506939,3.437196554,1.12626791,3.05164171,1.610239029,3.206890349
SS,S,S,6,21,27,1,main,0,0,0,1,match,1,0.479264975,0.495411158,0.897254944,3.807044029,0.779026031,0.496697903,0.546160936,0.91399622,0.41306901,0.531435013,0.898778915,0.423748016,y,2.197504044,2.680575692,2.694965784,2.95291586,3.5805879,2.89155197,2.696092326,2.737320634,2.9609444,2.616022614,2.725450164,2.953652875,2.627107678,5.200996876,1.858500243,3.716086593,3.269162622,7.059497119,3.848773765,6.031364203,3.780415554,4.704298973,3.672494915,1.32706523,3.122892271
SS,S,S,12,45,57,1,main,0,1,0,0,mismatch1,1,0.495742083,0.947105169,0.344788074,1.38302207,0.612429857,1.518151045,1.683853865,0.746190071,0.478648186,0.547513962,0.362878084,0.875758171,n,1.567197084,2.695255787,2.976398207,2.537552235,3.140829111,2.787056355,3.181314983,3.226304398,2.872849466,2.680016417,2.738395198,2.55976074,2.942384198,3.245961189,1.772352219,3.511343323,3.248550033,5.018313408,3.700557781,2.952648401,3.470211735,1.727810144,3.237496019,1.224838257,3.088078743
SS,S,S,4,13,17,1,main,0,1,0,0,mismatch2,1,1.048002958,0.378134012,3.02278018,1.919789076,1.465273857,0.933134079,0.830470085,1.097788811,0.729920149,0.296165943,0.564226866,1.092852831,n,2.216443062,3.020362508,2.577645743,3.480406566,3.283253516,3.165918801,2.969944051,2.919323993,3.0405188,2.863275352,2.471535116,2.751453762,3.038561682,5.875703335,2.123874903,3.76905986,3.327128933,7.999578238,3.90306709,6.770278216,3.830606516,4.942569256,3.693952763,1.82770896,3.261907041
SS,S,S,8,29,37,1,main,0,1,0,0,mismatch1,1,0.595470905,2.804587841,0.529095173,0.647171974,0.395365953,0.61418891,0.576880932,0.34472084,0.430496931,0.313128948,0.815260887,0.507722855,n,1.799076796,2.774860546,3.447869047,2.723533799,2.811019702,2.596999267,2.78830197,2.761086184,2.537467539,2.63397006,2.495723219,2.911296607,2.705626713,1.790456057,1.088346719,3.252963667,3.036767272,2.878802776,3.459211913,1.951484918,3.290365199,1.176267147,3.070505967,0.775217771,2.88942372
SS,S,S,10,37,47,1,main,0,0,0,1,match,1,0.495909214,2.587435007,0.696542978,1.417207003,0.55627799,0.330483913,0.578630924,0.395671129,0.397040844,0.43028307,1.635060072,0.524039984,y,3.134490013,2.695402178,3.41286945,2.842947918,3.15143329,2.745291877,2.519150324,2.76240164,2.597334362,2.598835185,2.633754259,3.213533713,2.719364425,2.444233894,1.222995043,3.388142762,3.087424697,3.667228937,3.564338023,2.906461954,3.463364642,2.113749981,3.325053617,0.792711973,2.899115418
SS,S,S,14,53,67,1,main,0,0,0,1,match,1,0.813864946,0.378850937,0.679516792,1.099632025,1.012760878,0.363424063,2.888445854,0.494924068,0.413537025,0.413333893,0.846029043,1.093777895,y,3.714925051,2.910552343,2.578468366,2.832200193,3.041247379,3.005506917,2.560413679,3.460664231,2.694538574,2.616514399,2.616301018,2.927385272,3.038929142,2.14257288,1.321794986,3.330935603,3.1211641,3.464367866,3.539624002,2.68760991,3.429366234,1.779148817,3.250212276,0.908461093,2.958306332
SS,S,S,2,5,7,1,main,0,0,0,1,match,1,2.001704931,0.964186192,1.482990026,0.562100887,0.527614117,0.379912138,0.930295944,0.496098042,0.41133213,0.363167048,0.313428164,0.340160847,y,3.932434082,3.301400059,2.984160908,3.17113823,2.749814271,2.722316407,2.579683169,2.968621127,2.695567513,2.614192634,2.560106436,2.496138019,2.531684324,2.425003051,1.27059722,3.384712289,3.104007901,3.695600271,3.56768499,2.952521085,3.470193008,2.045090913,3.310712619,0.907430172,2.957813215
SS,S,S,20,77,97,1,main,0,1,0,0,mismatch1,1,0.663383007,0.461658955,1.03144598,1.384437084,0.713131189,0.480618,0.546422005,0.495634079,0.346201897,0.325561047,0.461688042,1.362104893,n,2.719711065,2.821764343,2.664321264,3.013446488,3.141273224,2.853169431,2.681800032,2.737528181,2.69516116,2.539329443,2.512632436,2.664348626,3.134210553,2.896501064,1.167397023,3.461873692,3.067218581,4.063898087,3.608942808,3.25771904,3.512913626,2.415883064,3.383075909,0.841835976,2.925227481
OO,O,O,4,14,18,4,main,0,0,1,0,mismatch2,1,0.680167913,0.561191082,0.664487839,0.880763054,0.596255064,0.480581999,1.684123993,0.579901218,0.694635868,2.103471994,0.531280994,0.474436045,n,3.216130018,2.83261614,2.749110761,2.822487037,2.944859089,2.775432081,2.6817675,3.226374063,2.763354021,2.841757205,3.322936734,2.72532428,2.676177677,2.025832892,3.37800908,3.306603618,3.528660813,5.403841972,3.73270264,2.819787979,3.450216455,1.545250893,3.188999003,1.274537086,3.105352477
OO,O,O,12,46,58,4,main,0,0,1,0,mismatch2,1,0.579549789,0.728656054,0.662963152,0.562919855,0.427860022,0.346870184,0.378425121,1.68405509,1.165168047,0.363479137,0.530691862,0.456628084,n,4.569099903,2.763090752,2.862522578,2.821489391,2.750446567,2.631301709,2.540166971,2.577979958,3.226356294,3.066388566,2.560479488,2.724842428,2.659562618,1.572753191,3.212702274,3.196660575,3.506870481,4.785455465,3.679923279,4.075106144,3.610138925,1.225883007,3.088449025,2.849223137,3.454726462
OO,O,O,8,30,38,4,main,0,0,1,0,mismatch2,1,0.412367105,0.426761866,0.547491789,0.411545992,0.478801966,0.363780022,0.495590925,0.580986977,0.444797039,1.786797047,0.614086866,0.33986783,n,2.091809988,2.615284014,2.630185605,2.73837761,2.614418377,2.680155925,2.560838845,2.695123345,2.764166398,2.648161887,3.252075226,2.788229809,2.531310059,1.322817803,2.812581063,3.121500031,3.449105048,4.135398866,3.616517404,1.984821797,3.297721521,0.959037781,2.981835716,1.025784016,3.011055928
OO,O,O,16,62,78,4,main,0,0,1,0,mismatch1,1,0.362073898,0.46014905,0.595463037,0.545914173,0.596249819,1.618737936,0.478439093,0.530651093,0.529089928,2.204382181,0.311872959,0.306716919,n,3.343565941,2.558797218,2.66289853,2.774854808,2.73712437,2.77542826,3.209176545,2.679826658,2.724809063,2.723529494,3.343286892,2.493977721,2.486737733,2.760115146,3.264123202,3.4409272,3.513766543,6.024238348,3.779902146,2.201118231,3.342643371,1.14137721,3.057429197,1.059741021,3.025199746
OO,O,O,18,70,88,4,main,1,0,0,0,match,1,0.462560177,0.497009993,0.680973053,0.462095022,0.49465394,0.380038977,0.661010027,0.612676859,0.495877981,1.970166922,0.528625011,0.357284069,y,2.309510946,2.665168241,2.696365121,2.833129927,2.66473129,2.694301473,2.57982814,2.820208047,2.787231477,2.695374824,3.294503023,2.723147707,2.553013652,1.523107052,3.078721762,3.182730429,3.488370442,4.601828814,3.662930459,2.251622915,3.35249566,1.143068075,3.058072095,1.10855484,3.044757182
OO,O,O,14,54,68,4,main,1,0,0,0,match,1,0.461961031,0.647919893,0.580723047,0.41217804,0.510740995,1.116609097,0.728473902,0.714730978,0.395014048,2.555706978,0.645833969,0.390989065,y,1.745703936,2.664605342,2.811521314,2.763969062,2.61508485,2.708200718,3.047901162,2.862413998,2.854142606,2.596612541,3.407511059,2.810120884,2.592164611,2.109510184,3.665452004,3.324181626,3.564127537,5.774962188,3.761549145,2.102646113,3.322766185,0.992901087,2.996905986,1.109745026,3.045223207
OO,O,O,2,6,8,4,main,1,0,0,0,match,1,0.462697029,0.965688944,0.729888916,1.232245207,1.933418989,0.631064892,0.794548035,0.74716115,0.763278961,1.433985949,0.459722042,0.323411942,y,1.89743495,2.665296711,2.984837259,2.863256769,3.090697138,3.28632598,2.80007402,2.900120158,2.873414282,2.882683292,3.156544896,2.662495327,2.509756052,2.593199015,2.94442606,3.413835848,3.469000653,5.537625075,3.743323548,3.472574234,3.540651539,1.962134123,3.292728691,1.510440111,3.17910351
