RCtype,RC1,RC2,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_R34,log_R89,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OO,O,O,1,2,3,3,main,0,1,0,0,match,1.882514954,0.609297991,0.980038166,0.745996952,1.01493597,0.43022418,0.511211157,0.396286964,0.445242167,0.463479042,2.904101849,0.524138927,y,1.70145607,3.274738435,2.784829746,2.991242989,2.872737053,3.006438644,2.633694816,2.708600324,2.598009786,2.648596288,2.666030101,3.463011843,2.719446415,3.237049628,2.925069154,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,4,14,18,3,main,0,0,1,0,mismatch2,0.377711058,1.598522902,0.797280073,2.969386101,0.34423089,0.363258839,0.361054182,1.280380011,1.493704081,0.630643845,2.703315973,0.658392906,n,1.549832821,2.5771597,3.203718863,2.90161091,3.472666671,2.53684984,2.560216191,2.55757238,3.107338885,3.174264568,2.799784161,3.431896811,2.818485143,3.575957132,3.443119622,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,5,18,23,3,main,0,1,0,0,match,0.377803087,0.892803192,0.47966814,0.444766045,0.74720788,0.563994884,0.377038956,1.029491186,0.512830019,0.463227034,0.762662172,0.606750011,y,3.199368,2.577265502,2.950755734,2.680940873,2.648131624,2.873441443,2.751275165,2.576386224,3.012622633,2.709973439,2.665793897,2.882332206,2.783009793,2.965875997,3.18817483,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,8,30,38,3,main,0,0,1,0,mismatch2,0.377857924,0.394980907,0.663785934,0.445104122,0.461517096,0.413529873,0.52805686,1.165146112,0.511783123,0.39597106,0.67948699,1.3429811,n,3.68799305,2.577328534,2.596576103,2.822028045,2.648461616,2.664187793,2.616506888,2.722680689,3.06638039,2.70908596,2.597663446,2.832181146,3.128069901,3.044888489,3.224514736,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,12,46,58,3,main,0,0,1,0,mismatch2,0.528252125,0.578399181,0.545031071,0.612022161,2.918845177,0.797620058,0.829241991,1.012634993,0.561993122,0.480215073,0.579864979,1.059013844,n,3.624469042,2.722841253,2.762227669,2.736421261,2.786767148,3.46521106,2.901796067,2.918681286,3.005452931,2.749731,2.681435788,2.76332688,3.024901637,3.06335334,3.197178002,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,4,14,18,4,main,0,0,1,0,mismatch2,0.680167913,0.561191082,0.664487839,0.880763054,0.596255064,0.480581999,1.684123993,0.579901218,0.694635868,2.103471994,0.531280994,0.474436045,n,3.216130018,2.83261614,2.749110761,2.822487037,2.944859089,2.775432081,2.6817675,3.226374063,2.763354021,2.841757205,3.322936734,2.72532428,2.676177677,3.188999003,3.105352477,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,12,46,58,4,main,0,0,1,0,mismatch2,0.579549789,0.728656054,0.662963152,0.562919855,0.427860022,0.346870184,0.378425121,1.68405509,1.165168047,0.363479137,0.530691862,0.456628084,n,4.569099903,2.763090752,2.862522578,2.821489391,2.750446567,2.631301709,2.540166971,2.577979958,3.226356294,3.066388566,2.560479488,2.724842428,2.659562618,3.088449025,3.454726462,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,8,30,38,4,main,0,0,1,0,mismatch2,0.412367105,0.426761866,0.547491789,0.411545992,0.478801966,0.363780022,0.495590925,0.580986977,0.444797039,1.786797047,0.614086866,0.33986783,n,2.091809988,2.615284014,2.630185605,2.73837761,2.614418377,2.680155925,2.560838845,2.695123345,2.764166398,2.648161887,3.252075226,2.788229809,2.531310059,2.981835716,3.011055928,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,16,62,78,4,main,0,0,1,0,mismatch1,0.362073898,0.46014905,0.595463037,0.545914173,0.596249819,1.618737936,0.478439093,0.530651093,0.529089928,2.204382181,0.311872959,0.306716919,n,3.343565941,2.558797218,2.66289853,2.774854808,2.73712437,2.77542826,3.209176545,2.679826658,2.724809063,2.723529494,3.343286892,2.493977721,2.486737733,3.057429197,3.025199746,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,18,70,88,4,main,1,0,0,0,match,0.462560177,0.497009993,0.680973053,0.462095022,0.49465394,0.380038977,0.661010027,0.612676859,0.495877981,1.970166922,0.528625011,0.357284069,y,2.309510946,2.665168241,2.696365121,2.833129927,2.66473129,2.694301473,2.57982814,2.820208047,2.787231477,2.695374824,3.294503023,2.723147707,2.553013652,3.058072095,3.044757182,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
