Rctype,RC1,RC2,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,R23467810,log_R23467810,R234678,log_R234678,RC1_rt,log_RC1_rt,RC2_rt,log_RC2_rt,R3478,log_R3478,R78,log_R78,R34,log_R34
OO,O,O,18,70,88,1,1,0,0,0,match,1,0.996230841,0.664008141,0.844578981,0.847038984,0.578655958,0.747694969,0.644388914,0.864056826,0.660558939,0.857419014,y,2.04916501,2.998359982,2.822173404,2.926640269,2.927903399,2.762420429,2.873724458,2.80914806,2.936542305,2.819911574,2.93319311,5.469185829,3.73792268,4.611766815,3.66386734,2.355626106,3.372106359,2.256140709,3.353366182,3.200063705,3.505158624,1.50844574,3.178529693,1.691617965,3.228302289
SS,S,S,13,49,62,1,1,0,0,0,mismatch2,1,1.04654789,1.149347067,2.152138948,0.996112823,0.844914913,0.697286129,0.780358076,0.493006945,0.575994015,0.577091932,n,4.631832838,3.019759106,3.060451192,3.332870307,2.998308531,2.926812976,2.843411026,2.892293929,2.692853037,2.760417971,2.761245003,6.84534192,3.835395146,6.268249988,3.797146309,4.297598838,3.633225874,1.97065115,3.294609751,4.421616792,3.645581101,1.273365021,3.104952916,3.148251771,3.498069456
SO,S,O,11,43,54,1,1,0,0,0,mismatch1,1,1.061995983,0.730933905,1.91821599,4.090763807,0.711642981,0.445820093,0.594871044,0.562067032,0.743525982,0.744439125,n,7.202955961,3.026122874,2.863878107,3.282897507,3.611804405,2.85226217,2.649159638,2.77442283,2.749788113,2.871296149,2.87182919,9.087110996,3.958425833,8.342671871,3.921305163,6.739913702,3.828654336,1.602758169,3.204867999,7.165917873,3.855271827,1.156938076,3.063310114,6.008979797,3.778800744
OS,O,S,8,32,40,1,1,0,0,0,mismatch2,1,1.430462122,0.781048059,0.360104084,0.428930044,0.775393009,0.630427122,0.378488064,0.962753057,0.628082037,0.459770203,n,2.301658154,3.155476362,2.892677757,2.556428047,2.632386467,2.889521881,2.799634889,2.578052188,2.983514906,2.798016373,2.662540822,4.001520633,3.602225061,3.54175043,3.549217955,1.570082187,3.195922386,1.971668243,3.294833841,2.130275249,3.328435721,1.341241121,3.12750686,0.789034128,2.897095788
SO,S,O,7,27,34,1,1,0,0,0,mismatch1,1,1.547324896,0.513433933,0.445348024,0.477586031,0.744713068,0.396418095,2.63599205,0.512437105,0.659200191,0.57712698,n,13.78138304,3.189581513,2.710484568,2.64869953,2.679051616,2.871988975,2.59815347,3.420944096,2.709640569,2.819017325,2.761271378,5.558342218,3.744945282,4.981215238,3.697335308,1.436367988,3.157265718,3.54484725,3.549597526,4.07136321,3.609739848,3.148429155,3.498093925,0.922934055,2.965170671
OS,O,S,20,80,100,1,1,0,0,0,mismatch2,1,1.548932076,3.357815027,0.827801943,0.763339996,1.964076996,0.613721848,0.89756012,1.865751028,0.610918999,1.28053093,n,3.157225132,3.190032373,3.526056768,2.917926441,2.882718018,3.293158509,2.787971584,2.953063548,3.27085369,2.785983631,3.107390073,9.606520892,3.982566132,8.325989962,3.920435883,4.948956966,3.694513677,3.377032996,3.528535304,4.354453087,3.638933616,2.763311148,3.441429789,1.591141939,3.201708923
SS,S,S,7,25,32,1,0,0,1,0,mismatch1,1,1.764586926,0.479147196,0.529074907,0.828474045,1.548144817,1.11513114,0.897115946,0.878921986,0.559046984,0.694008827,n,1.931293964,3.246643057,2.680468951,2.723517164,2.918278907,3.189811583,3.047325944,2.952848576,2.943950328,2.747448309,2.841364994,5.421874047,3.734149424,4.72786522,3.674665087,1.836696148,3.264037315,2.891169072,3.461073489,3.133586884,3.496041741,1.776037932,3.249452237,1.357548952,3.132755499
SS,S,S,3,9,12,1,0,0,1,0,mismatch1,1,1.833037853,0.580670834,0.595394135,0.812702894,0.795243979,2.203227043,0.646299839,0.559825897,0.492547035,0.392869949,n,4.043039799,3.263171433,2.763930013,2.774804552,2.909931806,2.90050039,3.343059254,2.810434048,2.748052985,2.692447709,2.59424881,5.790990591,3.762752859,5.398120642,3.732242586,1.988767863,3.298584093,3.409352779,3.532671942,2.614222765,3.417342592,1.206125736,3.081392584,1.408097029,3.148632582
OS,O,S,4,16,20,2,1,0,0,0,mismatch2,1,0.176009893,0.646945953,0.69040513,0.411911011,0.524586201,0.529435158,0.42889595,0.360118151,0.410366058,0.553043842,n,6.516518831,2.245537079,2.810868,2.83910401,2.614803401,2.719816862,2.723812778,2.632351945,2.556445012,2.613171432,2.742759561,3.620755195,3.558799162,3.067711353,3.486814494,1.749262094,3.242854885,1.318449259,3.12006342,1.891330242,3.276767367,0.789014101,2.897084765,1.102316141,3.042306167
OO,O,O,5,18,23,2,0,1,0,0,match,1,0.225028038,0.563389063,0.426191807,0.395023823,12.0181849,0.446585894,0.410014153,0.378473997,0.542640209,0.476431131,y,2.956370115,2.352236634,2.750808412,2.629605097,2.596623288,4.079838881,2.649905001,2.612798848,2.578036047,2.734511971,2.678000131,3.096109868,3.490816364,2.619678737,3.418248035,1.384604693,3.141325799,1.235074044,3.091692995,1.60970378,3.206745964,0.78848815,2.896795171,0.82121563,2.914457207
